codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
3502500135,0071,2024-04-06T22:12:00.000,17.7,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T20:14:00.000,19,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205518,0068,2024-04-06T04:20:00.000,8.539814,SALITRE,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.17136111,-74.01566667,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T21:36:00.000,18,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205519,0068,2024-04-06T12:00:00.000,15.28198,SAN FORTUNATO,CUNDINAMARCA,SIBATÉ,ALTO MAGDALENA,4.45211111,-74.27228806,TEMPERATURA DEL AIRE A 2 m,°C
0021205511,0068,2024-04-06T16:00:00.000,16.5576,EL OKAL,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.00111111,-73.73333333,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T10:38:00.000,21.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T02:12:00.000,18.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T08:54:00.000,18.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T07:44:00.000,17.8,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205518,0068,2024-04-06T22:10:00.000,8.25135,SALITRE,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.17136111,-74.01566667,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T14:18:00.000,25.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
